system,query,run,elapsed_s,elapsed_ms,stream_id,rows_returned,success,error,workload,scale_factor,variant
clickhouse,Q11,1,4.045589455000027,4045.6,3,0,True,,tpch,50,tuned
clickhouse,Q01,2,5.723507893000033,5723.5,2,4,True,,tpch,50,tuned
clickhouse,Q14,4,4.387404177000008,4387.4,3,1,True,,tpch,50,tuned
clickhouse,Q15,1,1.8517683769998712,1851.8,3,1,True,,tpch,50,tuned
clickhouse,Q12,2,12.563039449000144,12563.0,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 5.60 GiB (attempt to allocate chunk of 10.06 MiB), maximum: 5.59 GiB: While executing SimpleSquashingTransform. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q12,4,13.287359282000123,13287.4,3,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 5.59 GiB (attempt to allocate chunk of 8.19 MiB), maximum: 5.59 GiB: While executing SimpleSquashingTransform. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q11,3,7.767976826999984,7768.0,3,0,True,,tpch,50,tuned
clickhouse,Q20,5,14.323874723000015,14323.9,2,8890,True,,tpch,50,tuned
clickhouse,Q17,3,6.202248087000044,6202.2,3,1,True,,tpch,50,tuned
clickhouse,Q13,2,45.7918413079999,45791.8,0,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 5.70 GiB (attempt to allocate chunk of 128.00 MiB), maximum: 5.59 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q21,5,14.711409373999912,14711.4,0,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 5.59 GiB (attempt to allocate chunk of 5.00 MiB), maximum: 5.59 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q02,5,63.043875857999865,63043.9,1,100,True,,tpch,50,tuned
clickhouse,Q16,2,9.997768075000067,9997.8,0,27840,True,,tpch,50,tuned
clickhouse,Q13,4,39.66320071799987,39663.2,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 5.69 GiB (attempt to allocate chunk of 128.00 MiB), maximum: 5.59 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q07,1,11.63748395100015,11637.5,0,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 5.59 GiB (attempt to allocate chunk of 8.00 MiB), maximum: 5.59 GiB: While executing SimpleSquashingTransform. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q12,1,12.279745009999942,12279.7,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 5.59 GiB (attempt to allocate chunk of 4.00 MiB), maximum: 5.59 GiB: while receiving packet from 10.0.1.143:9000, local address: 10.0.1.145:60404: While executing Remote. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q04,1,35.41661659300007,35416.6,1,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Received from 10.0.1.183:9000. DB::Exception: Query memory limit exceeded: would use 5.60 GiB (attempt to allocate chunk of 24.00 MiB), maximum: 5.59 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q18,1,15.28720482499989,15287.2,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 5.62 GiB (attempt to allocate chunk of 128.00 MiB), maximum: 5.59 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q06,2,1.546108021000009,1546.1,1,1,True,,tpch,50,tuned
clickhouse,Q02,4,70.90219870200008,70902.2,3,100,True,,tpch,50,tuned
clickhouse,Q07,3,14.881255677000128,14881.3,1,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 5.59 GiB (attempt to allocate chunk of 5.99 MiB), maximum: 5.59 GiB: While executing SimpleSquashingTransform. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q13,3,41.20849673699991,41208.5,0,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 5.70 GiB (attempt to allocate chunk of 128.00 MiB), maximum: 5.59 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q05,3,25.708889194999983,25708.9,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 5.59 GiB (attempt to allocate chunk of 4.00 MiB), maximum: 5.59 GiB: while receiving packet from 10.0.1.142:9000, local address: 10.0.1.145:43810: While executing Remote. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q17,5,10.94122904699998,10941.2,1,1,True,,tpch,50,tuned
clickhouse,Q07,4,17.54148185600002,17541.5,3,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 5.59 GiB (attempt to allocate chunk of 8.00 MiB), maximum: 5.59 GiB: While executing SimpleSquashingTransform. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q14,3,4.962316866000037,4962.3,2,1,True,,tpch,50,tuned
clickhouse,Q21,3,6.840603017000149,6840.6,3,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 5.59 GiB (attempt to allocate chunk of 5.00 MiB), maximum: 5.59 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q16,5,13.067818345000203,13067.8,2,27840,True,,tpch,50,tuned
clickhouse,Q10,5,20.480456714999946,20480.5,0,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 5.59 GiB (attempt to allocate chunk of 10.82 MiB), maximum: 5.59 GiB: While executing SimpleSquashingTransform. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q22,5,12.12409561100003,12124.1,3,7,True,,tpch,50,tuned
clickhouse,Q10,3,19.569306437999785,19569.3,1,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 5.59 GiB (attempt to allocate chunk of 4.06 MiB), maximum: 5.59 GiB: while receiving packet from 10.0.1.183:9000, local address: 10.0.1.145:58396: While executing Remote. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q16,4,11.034034238000004,11034.0,0,27840,True,,tpch,50,tuned
clickhouse,Q17,1,11.295451361000003,11295.5,1,1,True,,tpch,50,tuned
clickhouse,Q09,2,13.967419200999984,13967.4,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 5.60 GiB (attempt to allocate chunk of 4.07 MiB), maximum: 5.59 GiB: (while reading column l_partkey): (while reading from part /data/clickhouse/store/d0a/d0a3530a-c378-4595-ac22-928ca4acbed7/all_1_268_4/ in table benchmark.lineitem_local (d0a3530a-c378-4595-ac22-928ca4acbed7) located on disk default of type local, from mark 8892 with max_rows_to_read = 24576, offset = 0): While reading part all_1_268_4: While executing MergeTreeSelect(pool: ReadPool, algorithm: Thread). (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q12,5,14.159270575999926,14159.3,3,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 5.60 GiB (attempt to allocate chunk of 10.31 MiB), maximum: 5.59 GiB: While executing SimpleSquashingTransform. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q08,3,12.895300382999949,12895.3,1,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 5.59 GiB (attempt to allocate chunk of 9.85 MiB), maximum: 5.59 GiB: While executing SimpleSquashingTransform. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
