system,query,run,elapsed_s,elapsed_ms,stream_id,rows_returned,success,error,workload,scale_factor,variant
clickhouse,Q11,1,5.661913280000135,5661.9,3,0,True,,tpch,50,tuned
clickhouse,Q01,2,10.736160928000118,10736.2,2,4,True,,tpch,50,tuned
clickhouse,Q13,2,14.400349793999794,14400.3,0,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 2.80 GiB (attempt to allocate chunk of 48.12 MiB), maximum: 2.79 GiB: While executing SimpleSquashingTransform. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q14,4,14.697763541999848,14697.8,3,1,True,,tpch,50,tuned
clickhouse,Q15,1,2.9697042580000925,2969.7,3,1,True,,tpch,50,tuned
clickhouse,Q12,2,14.50091594200012,14500.9,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 2.80 GiB (attempt to allocate chunk of 4.01 MiB), maximum: 2.79 GiB: while receiving packet from 10.0.1.33:9000, local address: 10.0.1.74:40046: While executing Remote. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q21,5,16.565458401999877,16565.5,0,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 2.80 GiB (attempt to allocate chunk of 16.00 MiB), maximum: 2.79 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q12,4,13.180988630000227,13181.0,3,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 2.81 GiB (attempt to allocate chunk of 4.00 MiB), maximum: 2.79 GiB: while receiving packet from 10.0.1.142:9000, local address: 10.0.1.74:56012: While executing Remote. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q11,3,6.571281309999904,6571.3,3,0,True,,tpch,50,tuned
clickhouse,Q20,5,26.76321561900022,26763.2,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Received from 10.0.1.33:9000. DB::Exception: Query memory limit exceeded: would use 2.80 GiB (attempt to allocate chunk of 10.00 MiB), maximum: 2.79 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q17,3,12.552185962000294,12552.2,3,1,True,,tpch,50,tuned
clickhouse,Q13,4,14.285448403999908,14285.4,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 2.79 GiB (attempt to allocate chunk of 48.12 MiB), maximum: 2.79 GiB: While executing SimpleSquashingTransform. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
clickhouse,Q16,2,37.069469621999815,37069.5,0,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 2.80 GiB (attempt to allocate chunk of 4.86 MiB), maximum: 2.79 GiB: While executing AggregatingTransform. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,50,tuned
