system,query,run,elapsed_s,elapsed_ms,stream_id,rows_returned,success,error,workload,scale_factor,variant
clickhouse,Q01,1,19.75658516500016,19756.6,0,4,True,,tpch,100,tuned
clickhouse,Q01,2,10.82303660000025,10823.0,2,4,True,,tpch,100,tuned
clickhouse,Q01,3,13.583367398000064,13583.4,3,4,True,,tpch,100,tuned
clickhouse,Q01,4,11.154779139000311,11154.8,3,4,True,,tpch,100,tuned
clickhouse,Q01,5,12.00552389099994,12005.5,1,4,True,,tpch,100,tuned
clickhouse,Q02,1,9.456150754000191,9456.2,1,100,True,,tpch,100,tuned
clickhouse,Q02,2,9.274110558999835,9274.1,1,100,True,,tpch,100,tuned
clickhouse,Q02,3,12.998762389999683,12998.8,3,100,True,,tpch,100,tuned
clickhouse,Q02,4,6.069569794000017,6069.6,3,100,True,,tpch,100,tuned
clickhouse,Q02,5,3.957012771999871,3957.0,1,100,True,,tpch,100,tuned
clickhouse,Q03,1,17.63377287200001,17633.8,0,10,True,,tpch,100,tuned
clickhouse,Q03,2,16.156892319000235,16156.9,0,10,True,,tpch,100,tuned
clickhouse,Q03,3,14.378332778000184,14378.3,1,10,True,,tpch,100,tuned
clickhouse,Q03,4,6.600949528000001,6600.9,0,10,True,,tpch,100,tuned
clickhouse,Q03,5,3.357099540000036,3357.1,0,10,True,,tpch,100,tuned
clickhouse,Q04,1,31.46272649100001,31462.7,1,5,True,,tpch,100,tuned
clickhouse,Q04,2,23.25915676099976,23259.2,1,5,True,,tpch,100,tuned
clickhouse,Q04,3,15.153384122999796,15153.4,2,5,True,,tpch,100,tuned
clickhouse,Q04,4,24.63998853000021,24640.0,3,5,True,,tpch,100,tuned
clickhouse,Q04,5,24.09773753899981,24097.7,3,5,True,,tpch,100,tuned
clickhouse,Q05,1,19.376326585999777,19376.3,3,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 28.01 GiB (attempt to allocate chunk of 161.39 MiB), maximum: 27.94 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,100,tuned
clickhouse,Q05,2,22.99077751699997,22990.8,0,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 28.02 GiB (attempt to allocate chunk of 4.12 MiB), maximum: 27.94 GiB: (while reading column l_suppkey): (while reading from part /data/clickhouse/store/5d4/5d469995-5da9-4fca-925c-ad8b4af2c192/all_1_539_4/ in table benchmark.lineitem (5d469995-5da9-4fca-925c-ad8b4af2c192) located on disk default of type local, from mark 38728 with max_rows_to_read = 32768, offset = 0): While reading part all_1_539_4: While executing MergeTreeSelect(pool: ReadPool, algorithm: Thread). (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,100,tuned
clickhouse,Q05,3,20.57843997199961,20578.4,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 28.00 GiB (attempt to allocate chunk of 160.00 MiB), maximum: 27.94 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,100,tuned
clickhouse,Q05,4,30.305078630000025,30305.1,0,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 28.02 GiB (attempt to allocate chunk of 162.86 MiB), maximum: 27.94 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,100,tuned
clickhouse,Q05,5,29.99308485900019,29993.1,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 28.02 GiB (attempt to allocate chunk of 162.54 MiB), maximum: 27.94 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,100,tuned
clickhouse,Q06,1,1.88203075499996,1882.0,0,1,True,,tpch,100,tuned
clickhouse,Q06,2,2.121550567000213,2121.6,1,1,True,,tpch,100,tuned
clickhouse,Q06,3,2.85084774500001,2850.8,2,1,True,,tpch,100,tuned
clickhouse,Q06,4,2.191463426000155,2191.5,3,1,True,,tpch,100,tuned
clickhouse,Q06,5,8.925312318000124,8925.3,1,1,True,,tpch,100,tuned
clickhouse,Q07,1,6.82587989600006,6825.9,0,4,True,,tpch,100,tuned
clickhouse,Q07,2,8.184767437000119,8184.8,0,4,True,,tpch,100,tuned
clickhouse,Q07,3,6.629739829999835,6629.7,1,4,True,,tpch,100,tuned
clickhouse,Q07,4,6.257690918000208,6257.7,3,4,True,,tpch,100,tuned
clickhouse,Q07,5,11.621704724999743,11621.7,0,4,True,,tpch,100,tuned
clickhouse,Q08,1,21.884947604000445,21884.9,1,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 27.94 GiB (attempt to allocate chunk of 4.12 MiB), maximum: 27.94 GiB: (while reading column l_partkey): (while reading from part /data/clickhouse/store/5d4/5d469995-5da9-4fca-925c-ad8b4af2c192/all_1_539_4/ in table benchmark.lineitem (5d469995-5da9-4fca-925c-ad8b4af2c192) located on disk default of type local, from mark 16188 with max_rows_to_read = 24576, offset = 0): While reading part all_1_539_4: While executing MergeTreeSelect(pool: ReadPool, algorithm: Thread). (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,100,tuned
clickhouse,Q08,2,33.87667204299987,33876.7,3,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 27.95 GiB (attempt to allocate chunk of 4.12 MiB), maximum: 27.94 GiB: (while reading column l_partkey): (while reading from part /data/clickhouse/store/5d4/5d469995-5da9-4fca-925c-ad8b4af2c192/all_1_539_4/ in table benchmark.lineitem (5d469995-5da9-4fca-925c-ad8b4af2c192) located on disk default of type local, from mark 29880 with max_rows_to_read = 24576, offset = 0): While reading part all_1_539_4: While executing MergeTreeSelect(pool: ReadPool, algorithm: Thread). (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,100,tuned
clickhouse,Q08,3,29.236242594000032,29236.2,1,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 27.94 GiB (attempt to allocate chunk of 4.19 MiB), maximum: 27.94 GiB: (while reading column l_discount): (while reading from part /data/clickhouse/store/5d4/5d469995-5da9-4fca-925c-ad8b4af2c192/all_1_539_4/ in table benchmark.lineitem (5d469995-5da9-4fca-925c-ad8b4af2c192) located on disk default of type local, from mark 61940 with max_rows_to_read = 24576, offset = 0): While reading part all_1_539_4: While executing MergeTreeSelect(pool: ReadPool, algorithm: Thread). (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,100,tuned
clickhouse,Q08,4,25.72485612499986,25724.9,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 27.94 GiB (attempt to allocate chunk of 4.00 MiB), maximum: 27.94 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,100,tuned
clickhouse,Q08,5,28.47260308800014,28472.6,1,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 27.94 GiB (attempt to allocate chunk of 4.03 MiB), maximum: 27.94 GiB: (while reading column l_suppkey): (while reading from part /data/clickhouse/store/5d4/5d469995-5da9-4fca-925c-ad8b4af2c192/all_1_539_4/ in table benchmark.lineitem (5d469995-5da9-4fca-925c-ad8b4af2c192) located on disk default of type local, from mark 48248 with max_rows_to_read = 24576, offset = 0): While reading part all_1_539_4: While executing MergeTreeSelect(pool: ReadPool, algorithm: Thread). (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,100,tuned
clickhouse,Q09,1,22.49570615199991,22495.7,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 27.94 GiB (attempt to allocate chunk of 40.00 MiB), maximum: 27.94 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,100,tuned
clickhouse,Q09,2,15.490152445000149,15490.2,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 27.96 GiB (attempt to allocate chunk of 40.00 MiB), maximum: 27.94 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,100,tuned
clickhouse,Q09,3,17.14552921199993,17145.5,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 27.98 GiB (attempt to allocate chunk of 40.00 MiB), maximum: 27.94 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,100,tuned
clickhouse,Q09,4,23.037362677000147,23037.4,1,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 27.97 GiB (attempt to allocate chunk of 40.00 MiB), maximum: 27.94 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,100,tuned
