system,query,run,elapsed_s,elapsed_ms,stream_id,rows_returned,success,error,workload,scale_factor,variant
clickhouse,Q01,1,16.97454945300001,16974.5,0,4,True,,tpch,25,tuned
clickhouse,Q01,2,12.701669100000116,12701.7,2,4,True,,tpch,25,tuned
clickhouse,Q01,3,15.547730822999938,15547.7,3,4,True,,tpch,25,tuned
clickhouse,Q01,4,12.35900023399995,12359.0,3,4,True,,tpch,25,tuned
clickhouse,Q01,5,13.990479235999828,13990.5,1,4,True,,tpch,25,tuned
clickhouse,Q02,1,7.160987472999977,7161.0,1,100,True,,tpch,25,tuned
clickhouse,Q02,2,7.500573685000063,7500.6,1,100,True,,tpch,25,tuned
clickhouse,Q02,3,5.166652312999986,5166.7,3,100,True,,tpch,25,tuned
clickhouse,Q02,4,4.644188913999869,4644.2,3,100,True,,tpch,25,tuned
clickhouse,Q02,5,5.851170617999969,5851.2,1,100,True,,tpch,25,tuned
clickhouse,Q03,1,6.612267187999805,6612.3,0,10,True,,tpch,25,tuned
clickhouse,Q03,2,6.30621369000005,6306.2,0,10,True,,tpch,25,tuned
clickhouse,Q03,3,9.04200269099988,9042.0,1,10,True,,tpch,25,tuned
clickhouse,Q03,4,7.0780851489998895,7078.1,0,10,True,,tpch,25,tuned
clickhouse,Q03,5,4.28536515299993,4285.4,0,10,True,,tpch,25,tuned
clickhouse,Q04,1,16.679148089000137,16679.1,1,5,True,,tpch,25,tuned
clickhouse,Q04,2,17.002312118999953,17002.3,1,5,True,,tpch,25,tuned
clickhouse,Q04,3,4.8671225189998495,4867.1,2,5,True,,tpch,25,tuned
clickhouse,Q04,4,17.317452220000177,17317.5,3,5,True,,tpch,25,tuned
clickhouse,Q04,5,23.20935517599992,23209.4,3,5,True,,tpch,25,tuned
clickhouse,Q05,1,15.161243212000045,15161.2,3,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 6.52 GiB (attempt to allocate chunk of 4.13 MiB), maximum: 6.52 GiB: (while reading column l_suppkey): (while reading from part /data/clickhouse/store/8a0/8a0ca15e-b5ee-424e-acb5-600a4650a28e/all_1_140_3/ in table benchmark.lineitem (8a0ca15e-b5ee-424e-acb5-600a4650a28e) located on disk default of type local, from mark 6318 with max_rows_to_read = 32768, offset = 0): While reading part all_1_140_3: While executing MergeTreeSelect(pool: ReadPool, algorithm: Thread). (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,25,tuned
clickhouse,Q05,2,24.80624814199996,24806.2,0,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 6.53 GiB (attempt to allocate chunk of 4.00 MiB), maximum: 6.52 GiB: While executing MergeTreeSelect(pool: ReadPool, algorithm: Thread). (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,25,tuned
clickhouse,Q05,3,16.324025849999998,16324.0,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 6.52 GiB (attempt to allocate chunk of 4.07 MiB), maximum: 6.52 GiB: (while reading column l_orderkey): (while reading from part /data/clickhouse/store/8a0/8a0ca15e-b5ee-424e-acb5-600a4650a28e/all_1_140_3/ in table benchmark.lineitem (8a0ca15e-b5ee-424e-acb5-600a4650a28e) located on disk default of type local, from mark 10908 with max_rows_to_read = 32768, offset = 0): While reading part all_1_140_3: While executing MergeTreeSelect(pool: ReadPool, algorithm: Thread). (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,25,tuned
clickhouse,Q05,4,16.506028777999973,16506.0,0,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 6.52 GiB (attempt to allocate chunk of 4.07 MiB), maximum: 6.52 GiB: (while reading column l_orderkey): (while reading from part /data/clickhouse/store/8a0/8a0ca15e-b5ee-424e-acb5-600a4650a28e/all_1_140_3/ in table benchmark.lineitem (8a0ca15e-b5ee-424e-acb5-600a4650a28e) located on disk default of type local, from mark 1752 with max_rows_to_read = 32768, offset = 0): While reading part all_1_140_3: While executing MergeTreeSelect(pool: ReadPool, algorithm: Thread). (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,25,tuned
clickhouse,Q05,5,18.85714887500012,18857.1,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 6.52 GiB (attempt to allocate chunk of 4.07 MiB), maximum: 6.52 GiB: While executing MergeTreeSelect(pool: ReadPool, algorithm: Thread). (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,25,tuned
clickhouse,Q06,1,3.4734567880000213,3473.5,0,1,True,,tpch,25,tuned
clickhouse,Q06,2,1.348944246999963,1348.9,1,1,True,,tpch,25,tuned
clickhouse,Q06,3,0.6463210949998484,646.3,2,1,True,,tpch,25,tuned
clickhouse,Q06,4,2.733287551999865,2733.3,3,1,True,,tpch,25,tuned
clickhouse,Q06,5,3.183429982000007,3183.4,1,1,True,,tpch,25,tuned
clickhouse,Q07,1,7.456894448999947,7456.9,0,4,True,,tpch,25,tuned
clickhouse,Q07,2,3.488858365999932,3488.9,0,4,True,,tpch,25,tuned
clickhouse,Q07,3,8.214777414999844,8214.8,1,4,True,,tpch,25,tuned
clickhouse,Q07,4,6.530174858000009,6530.2,3,4,True,,tpch,25,tuned
clickhouse,Q07,5,13.450176012999918,13450.2,0,4,True,,tpch,25,tuned
clickhouse,Q08,1,22.79056504999994,22790.6,1,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 6.53 GiB (attempt to allocate chunk of 128.93 MiB), maximum: 6.52 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,25,tuned
clickhouse,Q08,2,26.54092943000001,26540.9,3,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 6.53 GiB (attempt to allocate chunk of 127.82 MiB), maximum: 6.52 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,25,tuned
clickhouse,Q08,3,24.378688763000127,24378.7,1,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 6.53 GiB (attempt to allocate chunk of 128.04 MiB), maximum: 6.52 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,25,tuned
clickhouse,Q08,4,22.100221036999983,22100.2,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 6.53 GiB (attempt to allocate chunk of 130.24 MiB), maximum: 6.52 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,25,tuned
clickhouse,Q08,5,25.319050467999887,25319.1,1,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 6.53 GiB (attempt to allocate chunk of 130.24 MiB), maximum: 6.52 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,25,tuned
clickhouse,Q09,1,19.347240658000143,19347.2,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 6.52 GiB (attempt to allocate chunk of 10.00 MiB), maximum: 6.52 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,25,tuned
clickhouse,Q09,2,11.417758546999949,11417.8,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 6.52 GiB (attempt to allocate chunk of 10.00 MiB), maximum: 6.52 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,25,tuned
clickhouse,Q09,3,15.711200854000026,15711.2,2,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 6.53 GiB (attempt to allocate chunk of 10.00 MiB), maximum: 6.52 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,25,tuned
clickhouse,Q09,4,12.864419909999924,12864.4,1,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 6.52 GiB (attempt to allocate chunk of 10.00 MiB), maximum: 6.52 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,25,tuned
clickhouse,Q09,5,16.63747615499983,16637.5,3,0,False,"Received ClickHouse exception, code: 241, server response: Code: 241. DB::Exception: Query memory limit exceeded: would use 6.52 GiB (attempt to allocate chunk of 10.00 MiB), maximum: 6.52 GiB: While executing FillingRightJoinSide. (MEMORY_LIMIT_EXCEEDED) (for url http://localhost:8123)",tpch,25,tuned
clickhouse,Q10,1,14.789727776000063,14789.7,0,20,True,,tpch,25,tuned
clickhouse,Q10,2,16.679830440999922,16679.8,2,20,True,,tpch,25,tuned
clickhouse,Q10,3,14.100781949000066,14100.8,1,20,True,,tpch,25,tuned
clickhouse,Q10,4,17.864829915999962,17864.8,2,20,True,,tpch,25,tuned
