system,query,run,elapsed_s,elapsed_ms,stream_id,rows_returned,success,error,workload,scale_factor,variant
duckdb,Q13,2,1.0974422070000855,1097.4,0,0,True,,tpch,50,official
duckdb,Q02,5,1.2790259500000047,1279.0,1,0,True,,tpch,50,official
duckdb,Q01,2,1.7318193459998383,1731.8,2,0,True,,tpch,50,official
duckdb,Q11,1,1.811806987999944,1811.8,3,0,True,,tpch,50,official
duckdb,Q21,5,4.336797678999801,4336.8,4,0,True,,tpch,50,official
duckdb,Q04,1,4.733600026999966,4733.6,5,0,True,,tpch,50,official
duckdb,Q12,2,5.1481184390002,5148.1,6,0,True,,tpch,50,official
duckdb,Q14,4,5.460809709999921,5460.8,7,0,True,,tpch,50,official
duckdb,Q16,2,4.606632226999864,4606.6,0,0,True,,tpch,50,official
duckdb,Q06,2,4.534847666999895,4534.8,1,0,True,,tpch,50,official
duckdb,Q20,5,4.49188816800006,4491.9,2,0,True,,tpch,50,official
duckdb,Q15,1,4.674673510000048,4674.7,3,0,True,,tpch,50,official
duckdb,Q07,1,2.602111345999901,2602.1,4,0,True,,tpch,50,official
duckdb,Q07,3,2.637137587000097,2637.1,5,0,True,,tpch,50,official
duckdb,Q13,4,3.498467752999886,3498.5,6,0,True,,tpch,50,official
duckdb,Q12,4,3.6256771329999538,3625.7,7,0,True,,tpch,50,official
duckdb,Q13,3,4.636541470000111,4636.5,0,0,True,,tpch,50,official
duckdb,Q17,5,4.9904526919999626,4990.5,1,0,True,,tpch,50,official
duckdb,Q12,1,5.006250503000047,5006.3,2,2,True,,tpch,50,official
duckdb,Q11,3,4.829513354000028,4829.5,3,0,True,,tpch,50,official
duckdb,Q10,5,5.117782803999944,5117.8,4,0,True,,tpch,50,official
duckdb,Q10,3,5.374178493000045,5374.2,5,0,True,,tpch,50,official
duckdb,Q18,1,5.218990511999891,5219.0,6,0,True,,tpch,50,official
duckdb,Q17,3,5.276632783999958,5276.6,7,0,True,,tpch,50,official
duckdb,Q16,4,4.304176091000045,4304.2,0,0,True,,tpch,50,official
duckdb,Q17,1,4.286881946999984,4286.9,1,1,True,,tpch,50,official
duckdb,Q14,2,0.3145054300000538,314.5,1,0,True,,tpch,50,official
