system,query,run,elapsed_s,elapsed_ms,stream_id,rows_returned,success,error,workload,scale_factor,variant
duckdb,Q01,1,3.9088680899999417,3908.9,,4,True,,tpch,50,official
duckdb,Q01,2,3.937502872000096,3937.5,,4,True,,tpch,50,official
duckdb,Q01,3,3.8809963839999,3881.0,,4,True,,tpch,50,official
duckdb,Q01,4,3.9075159829999393,3907.5,,4,True,,tpch,50,official
duckdb,Q01,5,3.9201919389997775,3920.2,,4,True,,tpch,50,official
duckdb,Q02,1,0.7962865439999405,796.3,,100,True,,tpch,50,official
duckdb,Q02,2,0.7960519220000606,796.1,,100,True,,tpch,50,official
duckdb,Q02,3,0.7999918640002761,800.0,,100,True,,tpch,50,official
duckdb,Q02,4,0.8037648280001122,803.8,,100,True,,tpch,50,official
duckdb,Q02,5,0.8030930469999475,803.1,,100,True,,tpch,50,official
duckdb,Q03,1,2.6830847279998125,2683.1,,10,True,,tpch,50,official
duckdb,Q03,2,2.70012316500015,2700.1,,10,True,,tpch,50,official
duckdb,Q03,3,2.751460753000174,2751.5,,10,True,,tpch,50,official
duckdb,Q03,4,2.720704554999884,2720.7,,10,True,,tpch,50,official
duckdb,Q03,5,2.7314974840001014,2731.5,,10,True,,tpch,50,official
duckdb,Q04,1,2.6298167350000767,2629.8,,5,True,,tpch,50,official
duckdb,Q04,2,2.6474907480001093,2647.5,,5,True,,tpch,50,official
duckdb,Q04,3,2.650970313000016,2651.0,,5,True,,tpch,50,official
duckdb,Q04,4,2.6557449550000456,2655.7,,5,True,,tpch,50,official
duckdb,Q04,5,2.6357691500002147,2635.8,,5,True,,tpch,50,official
duckdb,Q05,1,2.971808133000195,2971.8,,5,True,,tpch,50,official
duckdb,Q05,2,2.966568151000047,2966.6,,5,True,,tpch,50,official
duckdb,Q05,3,2.973029014000076,2973.0,,5,True,,tpch,50,official
duckdb,Q05,4,2.9998246660002224,2999.8,,5,True,,tpch,50,official
duckdb,Q05,5,2.981108671999664,2981.1,,5,True,,tpch,50,official
duckdb,Q06,1,0.83280982100041,832.8,,1,True,,tpch,50,official
duckdb,Q06,2,0.835085109999909,835.1,,1,True,,tpch,50,official
duckdb,Q06,3,0.8365766100000656,836.6,,1,True,,tpch,50,official
duckdb,Q06,4,0.8381235619999643,838.1,,1,True,,tpch,50,official
duckdb,Q06,5,0.8284847879999688,828.5,,1,True,,tpch,50,official
duckdb,Q07,1,2.755439073000161,2755.4,,4,True,,tpch,50,official
duckdb,Q07,2,2.7483050539999567,2748.3,,4,True,,tpch,50,official
duckdb,Q07,3,2.752167006000036,2752.2,,4,True,,tpch,50,official
duckdb,Q07,4,2.7513987459997225,2751.4,,4,True,,tpch,50,official
duckdb,Q07,5,2.7361436510000203,2736.1,,4,True,,tpch,50,official
duckdb,Q08,1,2.752287790000082,2752.3,,2,True,,tpch,50,official
duckdb,Q08,2,2.763270799000111,2763.3,,2,True,,tpch,50,official
duckdb,Q08,3,2.773483316000238,2773.5,,2,True,,tpch,50,official
duckdb,Q08,4,2.7706454660001327,2770.6,,2,True,,tpch,50,official
duckdb,Q08,5,2.7560112819996903,2756.0,,2,True,,tpch,50,official
duckdb,Q09,1,9.536769121999896,9536.8,,175,True,,tpch,50,official
duckdb,Q09,2,9.616482166999958,9616.5,,175,True,,tpch,50,official
duckdb,Q09,3,9.57999048800002,9580.0,,175,True,,tpch,50,official
duckdb,Q09,4,9.637047186000018,9637.0,,175,True,,tpch,50,official
duckdb,Q09,5,9.605135436999715,9605.1,,175,True,,tpch,50,official
duckdb,Q10,1,4.324458112999764,4324.5,,20,True,,tpch,50,official
duckdb,Q10,2,4.317670464999992,4317.7,,20,True,,tpch,50,official
duckdb,Q10,3,4.330654741000217,4330.7,,20,True,,tpch,50,official
duckdb,Q10,4,4.301131522000105,4301.1,,20,True,,tpch,50,official
duckdb,Q10,5,4.3374995690001015,4337.5,,20,True,,tpch,50,official
duckdb,Q11,1,0.4041314259998216,404.1,,0,True,,tpch,50,official
duckdb,Q11,2,0.4140350739999121,414.0,,0,True,,tpch,50,official
duckdb,Q11,3,0.4014977469996665,401.5,,0,True,,tpch,50,official
duckdb,Q11,4,0.4086850969997613,408.7,,0,True,,tpch,50,official
duckdb,Q11,5,0.4074495259997093,407.4,,0,True,,tpch,50,official
duckdb,Q12,1,3.256789051999931,3256.8,,2,True,,tpch,50,official
duckdb,Q12,2,3.2909117309995963,3290.9,,2,True,,tpch,50,official
duckdb,Q12,3,3.234165456000028,3234.2,,2,True,,tpch,50,official
duckdb,Q12,4,3.2232935729998644,3223.3,,2,True,,tpch,50,official
duckdb,Q12,5,3.2098964480001086,3209.9,,2,True,,tpch,50,official
duckdb,Q13,1,7.516209411000091,7516.2,,46,True,,tpch,50,official
duckdb,Q13,2,7.471527075000267,7471.5,,46,True,,tpch,50,official
duckdb,Q13,3,7.461404530999971,7461.4,,46,True,,tpch,50,official
duckdb,Q13,4,7.529428259999804,7529.4,,46,True,,tpch,50,official
duckdb,Q13,5,7.481224253000164,7481.2,,46,True,,tpch,50,official
duckdb,Q14,1,2.191009476999625,2191.0,,1,True,,tpch,50,official
duckdb,Q14,2,2.2010052529999484,2201.0,,1,True,,tpch,50,official
duckdb,Q14,3,2.230140524000035,2230.1,,1,True,,tpch,50,official
duckdb,Q14,4,2.188108673000442,2188.1,,1,True,,tpch,50,official
duckdb,Q14,5,2.2136148049999065,2213.6,,1,True,,tpch,50,official
duckdb,Q15,1,1.809463640000104,1809.5,,1,True,,tpch,50,official
duckdb,Q15,2,1.8237352260002808,1823.7,,1,True,,tpch,50,official
duckdb,Q15,3,1.8186498110003413,1818.6,,1,True,,tpch,50,official
duckdb,Q15,4,1.848382743000002,1848.4,,1,True,,tpch,50,official
duckdb,Q15,5,1.8509699250003,1851.0,,1,True,,tpch,50,official
duckdb,Q16,1,1.3551615470000795,1355.2,,27840,True,,tpch,50,official
duckdb,Q16,2,1.3477604839999913,1347.8,,27840,True,,tpch,50,official
duckdb,Q16,3,1.3485054669999954,1348.5,,27840,True,,tpch,50,official
duckdb,Q16,4,1.343500263000351,1343.5,,27840,True,,tpch,50,official
duckdb,Q16,5,1.3530242179999732,1353.0,,27840,True,,tpch,50,official
duckdb,Q17,1,3.4029739540001174,3403.0,,1,True,,tpch,50,official
duckdb,Q17,2,3.405578086999867,3405.6,,1,True,,tpch,50,official
duckdb,Q17,3,3.377814593000039,3377.8,,1,True,,tpch,50,official
duckdb,Q17,4,3.367596476000017,3367.6,,1,True,,tpch,50,official
duckdb,Q17,5,3.3492597380000007,3349.3,,1,True,,tpch,50,official
duckdb,Q18,1,6.347035001000222,6347.0,,100,True,,tpch,50,official
duckdb,Q18,2,6.322640935999971,6322.6,,100,True,,tpch,50,official
duckdb,Q18,3,6.217868370999895,6217.9,,100,True,,tpch,50,official
duckdb,Q18,4,6.196253268999953,6196.3,,100,True,,tpch,50,official
duckdb,Q18,5,6.3420550300002105,6342.1,,100,True,,tpch,50,official
duckdb,Q19,1,3.0850140290003765,3085.0,,1,True,,tpch,50,official
duckdb,Q19,2,3.068937786999868,3068.9,,1,True,,tpch,50,official
duckdb,Q19,3,3.08532143299999,3085.3,,1,True,,tpch,50,official
duckdb,Q19,4,3.069685583000137,3069.7,,1,True,,tpch,50,official
