system,query,run,elapsed_s,elapsed_ms,stream_id,rows_returned,success,error,workload,scale_factor,variant
exasol,Q02,5,0.078302363000148,78.3,1,100,True,,tpch,50,official
exasol,Q11,1,0.247737872000016,247.7,3,0,True,,tpch,50,official
exasol,Q04,1,0.2586430979999932,258.6,1,5,True,,tpch,50,official
exasol,Q14,4,0.3135797190000176,313.6,3,1,True,,tpch,50,official
exasol,Q06,2,0.2621547839999039,262.2,1,1,True,,tpch,50,official
exasol,Q15,1,0.7543847659999301,754.4,3,1,True,,tpch,50,official
exasol,Q13,2,1.9989229519999296,1998.9,0,46,True,,tpch,50,official
exasol,Q07,3,1.016904046000036,1016.9,1,4,True,,tpch,50,official
exasol,Q12,4,0.3070030990002124,307.0,3,2,True,,tpch,50,official
exasol,Q17,5,0.0471139639998909,47.1,1,1,True,,tpch,50,official
exasol,Q11,3,0.2990793559999929,299.1,3,0,True,,tpch,50,official
exasol,Q17,3,0.0474106120000215,47.4,3,1,True,,tpch,50,official
exasol,Q02,4,0.1287319590001061,128.7,3,100,True,,tpch,50,official
exasol,Q01,2,2.6153680049999366,2615.4,2,4,True,,tpch,50,official
exasol,Q21,5,1.2524746659998982,1252.5,0,100,True,,tpch,50,official
exasol,Q12,2,0.3347618370000873,334.8,2,2,True,,tpch,50,official
exasol,Q10,3,1.3562730140001804,1356.3,1,20,True,,tpch,50,official
exasol,Q07,4,0.7876767029999883,787.7,3,4,True,,tpch,50,official
exasol,Q17,1,0.0473845120000078,47.4,1,1,True,,tpch,50,official
exasol,Q20,5,0.534713586999942,534.7,2,8890,True,,tpch,50,official
exasol,Q08,3,0.226268495000113,226.3,1,2,True,,tpch,50,official
exasol,Q16,2,1.0717338389999895,1071.7,0,27840,True,,tpch,50,official
exasol,Q14,2,0.3212488189999476,321.2,1,1,True,,tpch,50,official
exasol,Q02,2,0.1129070029999184,112.9,1,100,True,,tpch,50,official
exasol,Q21,3,1.196820334999984,1196.8,3,100,True,,tpch,50,official
exasol,Q22,4,0.3225281549998726,322.5,1,7,True,,tpch,50,official
exasol,Q22,5,0.3307699819999925,330.8,3,7,True,,tpch,50,official
exasol,Q07,1,0.9756116169999132,975.6,0,4,True,,tpch,50,official
exasol,Q12,5,0.2699398830000064,269.9,3,2,True,,tpch,50,official
