system,query,run,elapsed_s,elapsed_ms,stream_id,rows_returned,success,error,workload,scale_factor,variant
exasol,Q11,1,0.740540050999698,740.5,3,0,True,,tpch,50,official
exasol,Q14,4,1.450635241999862,1450.6,3,1,True,,tpch,50,official
exasol,Q01,2,2.6234686980001243,2623.5,2,4,True,,tpch,50,official
exasol,Q13,2,2.6333023889997094,2633.3,0,46,True,,tpch,50,official
exasol,Q12,2,0.6199837070003014,620.0,2,2,True,,tpch,50,official
exasol,Q02,5,3.5233297690001564,3523.3,1,100,True,,tpch,50,official
exasol,Q15,1,1.7116826460000991,1711.7,3,1,True,,tpch,50,official
exasol,Q04,1,0.9634103809999032,963.4,1,5,True,,tpch,50,official
exasol,Q06,2,0.2567295210001248,256.7,1,1,True,,tpch,50,official
exasol,Q20,5,1.579983557000105,1580.0,2,8890,True,,tpch,50,official
exasol,Q21,5,2.3162851930001125,2316.3,0,100,True,,tpch,50,official
exasol,Q12,4,1.405896419000328,1405.9,3,2,True,,tpch,50,official
exasol,Q11,3,0.6332971350002481,633.3,3,0,True,,tpch,50,official
exasol,Q16,2,2.0225587859999905,2022.6,0,27840,True,,tpch,50,official
exasol,Q13,4,2.914033922000272,2914.0,2,46,True,,tpch,50,official
exasol,Q17,3,0.4869932419996985,487.0,3,1,True,,tpch,50,official
exasol,Q02,4,0.6907475719999638,690.7,3,100,True,,tpch,50,official
exasol,Q12,1,0.8597621829999298,859.8,2,2,True,,tpch,50,official
exasol,Q07,3,4.20669408599997,4206.7,1,4,True,,tpch,50,official
exasol,Q17,5,0.6545829370002139,654.6,1,1,True,,tpch,50,official
exasol,Q07,1,3.2175375960000565,3217.5,0,4,True,,tpch,50,official
exasol,Q18,1,2.1879941870001858,2188.0,2,100,True,,tpch,50,official
exasol,Q05,3,1.8506085240001084,1850.6,2,5,True,,tpch,50,official
exasol,Q07,4,4.40051393900012,4400.5,3,4,True,,tpch,50,official
exasol,Q14,3,1.1444046719998369,1144.4,2,1,True,,tpch,50,official
exasol,Q10,3,4.659373423000034,4659.4,1,20,True,,tpch,50,official
exasol,Q13,3,3.805454499000007,3805.5,0,46,True,,tpch,50,official
exasol,Q17,1,0.5719833179996385,572.0,1,1,True,,tpch,50,official
exasol,Q21,3,1.92263967100007,1922.6,3,100,True,,tpch,50,official
exasol,Q22,5,1.108831139999893,1108.8,3,7,True,,tpch,50,official
exasol,Q12,5,0.988820523999948,988.8,3,2,True,,tpch,50,official
exasol,Q10,5,2.9257423980002386,2925.7,0,20,True,,tpch,50,official
exasol,Q08,3,3.36567570599982,3365.7,1,2,True,,tpch,50,official
exasol,Q08,2,1.3500496550000207,1350.0,3,2,True,,tpch,50,official
exasol,Q14,2,0.7642123380001067,764.2,1,1,True,,tpch,50,official
exasol,Q16,4,2.0671549349999623,2067.2,0,27840,True,,tpch,50,official
exasol,Q04,4,0.5860325130001911,586.0,3,5,True,,tpch,50,official
exasol,Q16,5,5.401597436999964,5401.6,2,27840,True,,tpch,50,official
exasol,Q02,2,0.4092346350003026,409.2,1,100,True,,tpch,50,official
exasol,Q02,3,1.0116571079997811,1011.7,3,100,True,,tpch,50,official
exasol,Q05,2,3.496753354000248,3496.8,0,5,True,,tpch,50,official
exasol,Q01,3,3.326455404000172,3326.5,3,4,True,,tpch,50,official
exasol,Q22,4,4.320090213000185,4320.1,1,7,True,,tpch,50,official
exasol,Q09,2,9.494520575000024,9494.5,2,175,True,,tpch,50,official
exasol,Q03,1,5.946882941999775,5946.9,0,10,True,,tpch,50,official
exasol,Q18,4,5.922993397000028,5923.0,1,100,True,,tpch,50,official
exasol,Q15,5,1.884233638000296,1884.2,0,1,True,,tpch,50,official
exasol,Q08,5,2.0660581940001066,2066.1,1,2,True,,tpch,50,official
exasol,Q02,1,0.5857506339998508,585.8,1,100,True,,tpch,50,official
exasol,Q18,5,3.5560720749999746,3556.1,1,100,True,,tpch,50,official
exasol,Q09,5,13.143101418999777,13143.1,3,175,True,,tpch,50,official
exasol,Q04,2,0.6364747859997806,636.5,1,5,True,,tpch,50,official
exasol,Q19,2,0.45419345099981,454.2,3,1,True,,tpch,50,official
exasol,Q13,1,7.037227732000247,7037.2,0,46,True,,tpch,50,official
exasol,Q04,5,0.8051073430001452,805.1,3,5,True,,tpch,50,official
exasol,Q09,3,9.866651981999894,9866.7,2,175,True,,tpch,50,official
exasol,Q19,4,0.6126958329996341,612.7,0,1,True,,tpch,50,official
exasol,Q14,1,0.747765542000252,747.8,2,1,True,,tpch,50,official
exasol,Q03,3,2.501806427000247,2501.8,1,10,True,,tpch,50,official
exasol,Q15,4,1.091957407999871,1092.0,1,1,True,,tpch,50,official
exasol,Q05,1,2.481094527000096,2481.1,3,5,True,,tpch,50,official
exasol,Q05,4,3.2666556809999747,3266.7,0,5,True,,tpch,50,official
exasol,Q12,3,1.0394328200000018,1039.4,3,2,True,,tpch,50,official
exasol,Q17,4,1.1892416769996998,1189.2,3,1,True,,tpch,50,official
exasol,Q15,3,4.95635281199975,4956.4,0,1,True,,tpch,50,official
exasol,Q16,3,3.683717602999877,3683.7,3,27840,True,,tpch,50,official
exasol,Q20,2,1.9550349319997624,1955.0,3,8890,True,,tpch,50,official
exasol,Q16,1,2.051334651999696,2051.3,3,27840,True,,tpch,50,official
exasol,Q09,1,14.896536190000006,14896.5,2,175,True,,tpch,50,official
exasol,Q18,2,2.493497830000252,2493.5,3,100,True,,tpch,50,official
exasol,Q06,4,0.2520258249996914,252.0,3,1,True,,tpch,50,official
exasol,Q09,4,14.955047996999838,14955.0,1,175,True,,tpch,50,official
exasol,Q05,5,1.8811938620001456,1881.2,2,5,True,,tpch,50,official
exasol,Q07,5,8.897382955000012,8897.4,0,4,True,,tpch,50,official
exasol,Q11,2,0.4358572549999735,435.9,0,0,True,,tpch,50,official
exasol,Q22,1,0.987970086000132,988.0,1,7,True,,tpch,50,official
exasol,Q11,4,0.712888484999894,712.9,1,0,True,,tpch,50,official
exasol,Q01,4,3.15667184799986,3156.7,3,4,True,,tpch,50,official
exasol,Q10,1,1.5263042860001406,1526.3,0,20,True,,tpch,50,official
exasol,Q10,2,2.6991038189999017,2699.1,2,20,True,,tpch,50,official
exasol,Q15,2,1.2017684110001028,1201.8,1,1,True,,tpch,50,official
exasol,Q06,5,0.2314091910002389,231.4,1,1,True,,tpch,50,official
exasol,Q21,1,1.4965849130003337,1496.6,0,100,True,,tpch,50,official
exasol,Q08,4,1.4067423279998366,1406.7,2,2,True,,tpch,50,official
exasol,Q18,3,1.6903747759997714,1690.4,0,100,True,,tpch,50,official
exasol,Q01,5,2.440851059000124,2440.9,1,4,True,,tpch,50,official
exasol,Q10,4,2.1938354699996125,2193.8,2,20,True,,tpch,50,official
exasol,Q14,5,0.840838549000182,840.8,1,1,True,,tpch,50,official
exasol,Q19,1,0.4180160760001854,418.0,2,1,True,,tpch,50,official
exasol,Q22,2,0.3447380620000331,344.7,1,7,True,,tpch,50,official
exasol,Q01,1,2.104263132000142,2104.3,0,4,True,,tpch,50,official
exasol,Q20,4,1.1758030669998334,1175.8,2,8890,True,,tpch,50,official
