system,query,run,elapsed_s,elapsed_ms,stream_id,rows_returned,success,error,workload,scale_factor,variant
exasol,Q01,1,2.7268213459999515,2726.8,0,4,True,,tpch,25,official
exasol,Q01,2,3.400513589999946,3400.5,2,4,True,,tpch,25,official
exasol,Q01,3,6.859869907000075,6859.9,3,4,True,,tpch,25,official
exasol,Q01,4,3.548228270999971,3548.2,3,4,True,,tpch,25,official
exasol,Q01,5,5.875294716000099,5875.3,1,4,True,,tpch,25,official
exasol,Q02,1,0.2847425280001516,284.7,1,100,True,,tpch,25,official
exasol,Q02,2,0.1955349639999895,195.5,1,100,True,,tpch,25,official
exasol,Q02,3,0.2162966959999721,216.3,3,100,True,,tpch,25,official
exasol,Q02,4,0.2335685230000308,233.6,3,100,True,,tpch,25,official
exasol,Q02,5,0.2546052489999511,254.6,1,100,True,,tpch,25,official
exasol,Q03,1,2.339620785999841,2339.6,0,10,True,,tpch,25,official
exasol,Q03,2,0.5689514519999648,569.0,0,10,True,,tpch,25,official
exasol,Q03,3,2.16298663900011,2163.0,1,10,True,,tpch,25,official
exasol,Q03,4,0.5639827039999545,564.0,0,10,True,,tpch,25,official
exasol,Q03,5,0.5669920280001861,567.0,0,10,True,,tpch,25,official
exasol,Q04,1,0.7515276980000181,751.5,1,5,True,,tpch,25,official
exasol,Q04,2,0.2349329799999395,234.9,1,5,True,,tpch,25,official
exasol,Q04,3,0.209848533000013,209.8,2,5,True,,tpch,25,official
exasol,Q04,4,0.5028892699999687,502.9,3,5,True,,tpch,25,official
exasol,Q04,5,0.772613180999997,772.6,3,5,True,,tpch,25,official
exasol,Q05,1,2.180383318999929,2180.4,3,5,True,,tpch,25,official
exasol,Q05,2,1.6927078539999911,1692.7,0,5,True,,tpch,25,official
exasol,Q05,3,0.9728096950000236,972.8,2,5,True,,tpch,25,official
exasol,Q05,4,1.897389257999976,1897.4,0,5,True,,tpch,25,official
exasol,Q05,5,2.0651446729998497,2065.1,2,5,True,,tpch,25,official
exasol,Q06,1,0.0722969590001412,72.3,0,1,True,,tpch,25,official
exasol,Q06,2,0.6335813779999171,633.6,1,1,True,,tpch,25,official
exasol,Q06,3,0.0788886870000169,78.9,2,1,True,,tpch,25,official
