system,query,run,elapsed_s,elapsed_ms,stream_id,rows_returned,success,error,workload,scale_factor,variant
starrocks,Q11,1,2.2178304760000174,2217.8,3,0,True,,tpch,50,official
starrocks,Q02,5,3.096621777000109,3096.6,1,100,True,,tpch,50,official
starrocks,Q14,4,1.0656532389998574,1065.7,3,1,True,,tpch,50,official
starrocks,Q15,1,0.4740753830001267,474.1,3,1,True,,tpch,50,official
starrocks,Q13,2,3.83365241599995,3833.7,0,46,True,,tpch,50,official
starrocks,Q04,1,1.902174134999996,1902.2,1,5,True,,tpch,50,official
starrocks,Q12,4,1.3026916689998416,1302.7,3,2,True,,tpch,50,official
starrocks,Q06,2,0.4689123640000616,468.9,1,1,True,,tpch,50,official
starrocks,Q11,3,0.7548787870000524,754.9,3,0,True,,tpch,50,official
starrocks,Q07,3,1.955494047999992,1955.5,1,4,True,,tpch,50,official
starrocks,Q17,3,1.632546229999889,1632.5,3,1,True,,tpch,50,official
starrocks,Q02,4,0.7216660680001041,721.7,3,100,True,,tpch,50,official
starrocks,Q17,5,1.012154664000036,1012.2,1,1,True,,tpch,50,official
starrocks,Q07,4,1.4260984580000695,1426.1,3,4,True,,tpch,50,official
starrocks,Q10,3,2.050707232999912,2050.7,1,20,True,,tpch,50,official
starrocks,Q17,1,1.179561270000022,1179.6,1,1,True,,tpch,50,official
starrocks,Q01,2,12.781641876000094,12781.6,2,4,True,,tpch,50,official
starrocks,Q08,3,1.647515027000054,1647.5,1,2,True,,tpch,50,official
starrocks,Q12,2,0.8582460370000717,858.2,2,2,True,,tpch,50,official
starrocks,Q14,2,0.4519073999999818,451.9,1,1,True,,tpch,50,official
starrocks,Q20,5,0.6886522319998676,688.7,2,8890,True,,tpch,50,official
starrocks,Q02,2,0.9031304220000038,903.1,1,100,True,,tpch,50,official
starrocks,Q22,4,1.2082300469999154,1208.2,1,7,True,,tpch,50,official
starrocks,Q13,4,3.24028684699988,3240.3,2,46,True,,tpch,50,official
starrocks,Q12,1,1.3006724740000664,1300.7,2,2,True,,tpch,50,official
starrocks,Q21,5,18.104232449999927,18104.2,0,100,True,,tpch,50,official
starrocks,Q16,2,1.1272962489999827,1127.3,0,27840,True,,tpch,50,official
starrocks,Q18,1,5.431182583999998,5431.2,2,100,True,,tpch,50,official
starrocks,Q21,3,14.97749276400009,14977.5,3,100,True,,tpch,50,official
starrocks,Q07,1,2.128673343000173,2128.7,0,4,True,,tpch,50,official
starrocks,Q22,5,1.2731220650000523,1273.1,3,7,True,,tpch,50,official
starrocks,Q12,5,1.109969905999833,1110.0,3,2,True,,tpch,50,official
starrocks,Q05,3,4.010819488000152,4010.8,2,5,True,,tpch,50,official
starrocks,Q14,3,0.34554145900006,345.5,2,1,True,,tpch,50,official
starrocks,Q13,3,3.470853711000018,3470.9,0,46,True,,tpch,50,official
starrocks,Q08,2,2.473400872999946,2473.4,3,2,True,,tpch,50,official
starrocks,Q16,5,0.9163072599999396,916.3,2,27840,True,,tpch,50,official
starrocks,Q18,4,13.943265309000026,13943.3,1,100,True,,tpch,50,official
starrocks,Q10,5,2.101484398999901,2101.5,0,20,True,,tpch,50,official
starrocks,Q16,4,0.912839447999886,912.8,0,27840,True,,tpch,50,official
starrocks,Q04,4,2.833818696000208,2833.8,3,5,True,,tpch,50,official
starrocks,Q02,3,0.9437758630001554,943.8,3,100,True,,tpch,50,official
starrocks,Q09,2,5.415426400000115,5415.4,2,175,True,,tpch,50,official
starrocks,Q08,5,5.272990270000037,5273.0,1,2,True,,tpch,50,official
starrocks,Q05,2,4.0998618040000565,4099.9,0,5,True,,tpch,50,official
starrocks,Q02,1,1.4658390689999123,1465.8,1,100,True,,tpch,50,official
starrocks,Q03,1,2.319841015000065,2319.8,0,10,True,,tpch,50,official
starrocks,Q15,5,0.8848718340000232,884.9,0,1,True,,tpch,50,official
starrocks,Q01,3,8.501931427000045,8501.9,3,4,True,,tpch,50,official
starrocks,Q09,3,6.821847710999919,6821.8,2,175,True,,tpch,50,official
starrocks,Q14,1,0.678883815999825,678.9,2,1,True,,tpch,50,official
starrocks,Q13,1,3.9079583709999497,3908.0,0,46,True,,tpch,50,official
starrocks,Q19,4,2.326016614999844,2326.0,0,1,True,,tpch,50,official
starrocks,Q18,5,10.411130863999915,10411.1,1,100,True,,tpch,50,official
starrocks,Q09,1,4.673694527999942,4673.7,2,175,True,,tpch,50,official
starrocks,Q09,5,5.632604735999848,5632.6,3,175,True,,tpch,50,official
starrocks,Q19,2,1.021129745000053,1021.1,3,1,True,,tpch,50,official
starrocks,Q05,4,3.21858743100006,3218.6,0,5,True,,tpch,50,official
starrocks,Q15,3,0.413030438000078,413.0,0,1,True,,tpch,50,official
starrocks,Q04,2,1.883284625999977,1883.3,1,5,True,,tpch,50,official
starrocks,Q04,5,1.5298690760000682,1529.9,3,5,True,,tpch,50,official
starrocks,Q07,5,1.9072604649998084,1907.3,0,4,True,,tpch,50,official
starrocks,Q03,3,2.0746156770001107,2074.6,1,10,True,,tpch,50,official
starrocks,Q05,5,4.05794800700005,4057.9,2,5,True,,tpch,50,official
starrocks,Q11,2,0.4778503299999102,477.9,0,0,True,,tpch,50,official
starrocks,Q15,4,0.3589981939999234,359.0,1,1,True,,tpch,50,official
starrocks,Q05,1,3.4423873800001275,3442.4,3,5,True,,tpch,50,official
starrocks,Q10,1,2.217494357000078,2217.5,0,20,True,,tpch,50,official
starrocks,Q10,2,2.5269324109999616,2526.9,2,20,True,,tpch,50,official
starrocks,Q12,3,1.1566923880000104,1156.7,3,2,True,,tpch,50,official
starrocks,Q17,4,1.2583645549998437,1258.4,3,1,True,,tpch,50,official
starrocks,Q08,4,2.7378876450000007,2737.9,2,2,True,,tpch,50,official
starrocks,Q09,4,5.222113014999877,5222.1,1,175,True,,tpch,50,official
starrocks,Q16,3,0.966118010999935,966.1,3,27840,True,,tpch,50,official
starrocks,Q22,1,1.2312330540000858,1231.2,1,7,True,,tpch,50,official
starrocks,Q11,4,0.3958301440000014,395.8,1,0,True,,tpch,50,official
starrocks,Q20,2,1.493754079999917,1493.8,3,8890,True,,tpch,50,official
starrocks,Q10,4,2.444949552000025,2444.9,2,20,True,,tpch,50,official
starrocks,Q15,2,1.0782532059999994,1078.3,1,1,True,,tpch,50,official
starrocks,Q06,5,0.2545047049998175,254.5,1,1,True,,tpch,50,official
starrocks,Q16,1,1.2730836580001323,1273.1,3,27840,True,,tpch,50,official
starrocks,Q19,1,4.758017174000088,4758.0,2,1,True,,tpch,50,official
starrocks,Q01,5,5.29156302399997,5291.6,1,4,True,,tpch,50,official
starrocks,Q20,4,1.1757682939999086,1175.8,2,8890,True,,tpch,50,official
