system,query,run,elapsed_s,elapsed_ms,stream_id,rows_returned,success,error,workload,scale_factor,variant
starrocks,Q06,2,0.0959336050000274,95.9,9,1,True,,tpch,50,official
starrocks,Q11,1,1.142646929999955,1142.6,3,0,True,,tpch,50,official
starrocks,Q12,4,1.176076041999977,1176.1,15,2,True,,tpch,50,official
starrocks,Q12,2,1.278392015999998,1278.4,6,2,True,,tpch,50,official
starrocks,Q16,2,1.534841828000026,1534.8,8,27840,True,,tpch,50,official
starrocks,Q01,2,3.358251721999977,3358.3,2,4,True,,tpch,50,official
starrocks,Q14,4,3.493599562999861,3493.6,7,1,True,,tpch,50,official
starrocks,Q17,1,3.7554666819999056,3755.5,9,1,True,,tpch,50,official
starrocks,Q02,5,4.018426814999884,4018.4,1,100,True,,tpch,50,official
starrocks,Q04,1,4.113045266000199,4113.0,5,5,True,,tpch,50,official
starrocks,Q11,3,4.187642147999895,4187.6,3,0,True,,tpch,50,official
starrocks,Q07,1,5.414052511000136,5414.1,12,4,True,,tpch,50,official
starrocks,Q07,3,5.419997985999999,5420.0,13,4,True,,tpch,50,official
starrocks,Q12,1,2.1401187649998974,2140.1,2,2,True,,tpch,50,official
starrocks,Q20,5,5.51897589400005,5519.0,10,8890,True,,tpch,50,official
starrocks,Q15,1,5.551639585999965,5551.6,11,1,True,,tpch,50,official
starrocks,Q13,2,5.661305268999968,5661.3,0,46,True,,tpch,50,official
starrocks,Q16,4,4.287596556000153,4287.6,8,27840,True,,tpch,50,official
starrocks,Q17,3,3.1732156549999218,3173.2,7,1,True,,tpch,50,official
starrocks,Q17,5,2.660681047000025,2660.7,1,1,True,,tpch,50,official
starrocks,Q13,4,7.93096031999994,7931.0,14,46,True,,tpch,50,official
starrocks,Q07,4,7.265419285000007,7265.4,15,4,True,,tpch,50,official
starrocks,Q10,3,4.424150849999933,4424.2,5,20,True,,tpch,50,official
starrocks,Q02,4,3.017692949999855,3017.7,11,100,True,,tpch,50,official
starrocks,Q18,1,7.397471631999906,7397.5,6,100,True,,tpch,50,official
starrocks,Q22,4,4.914553708000085,4914.6,9,7,True,,tpch,50,official
starrocks,Q13,3,3.1492540799999915,3149.3,0,46,True,,tpch,50,official
starrocks,Q16,5,3.425076440000112,3425.1,2,27840,True,,tpch,50,official
starrocks,Q08,3,3.521939552999811,3521.9,13,2,True,,tpch,50,official
starrocks,Q14,2,2.516492054999844,2516.5,1,1,True,,tpch,50,official
starrocks,Q02,2,3.107868820000021,3107.9,5,100,True,,tpch,50,official
starrocks,Q14,3,4.084949281000036,4084.9,14,1,True,,tpch,50,official
starrocks,Q05,3,6.679364788999919,6679.4,10,5,True,,tpch,50,official
starrocks,Q05,2,6.850852586000201,6850.9,12,5,True,,tpch,50,official
starrocks,Q12,5,3.8481925070000216,3848.2,11,2,True,,tpch,50,official
starrocks,Q21,5,12.461190022999972,12461.2,4,100,True,,tpch,50,official
starrocks,Q08,2,4.906612894999853,4906.6,15,2,True,,tpch,50,official
starrocks,Q22,5,6.691890854999883,6691.9,7,7,True,,tpch,50,official
starrocks,Q13,1,7.554814429999851,7554.8,8,46,True,,tpch,50,official
starrocks,Q19,4,1.5852564650001568,1585.3,12,1,True,,tpch,50,official
starrocks,Q14,1,2.909863249999944,2909.9,14,1,True,,tpch,50,official
starrocks,Q03,1,6.124898377999898,6124.9,0,10,True,,tpch,50,official
starrocks,Q08,5,5.759086315000104,5759.1,1,2,True,,tpch,50,official
starrocks,Q02,1,3.479015266000033,3479.0,5,100,True,,tpch,50,official
starrocks,Q01,3,2.736791053999923,2736.8,11,4,True,,tpch,50,official
starrocks,Q02,3,1.851624185999981,1851.6,7,100,True,,tpch,50,official
starrocks,Q11,2,1.4970793730001333,1497.1,12,0,True,,tpch,50,official
starrocks,Q21,3,10.502700862999973,10502.7,3,100,True,,tpch,50,official
starrocks,Q18,4,7.504696004000152,7504.7,13,100,True,,tpch,50,official
starrocks,Q10,5,5.454866062000065,5454.9,4,20,True,,tpch,50,official
starrocks,Q18,5,9.268345632000091,9268.3,9,100,True,,tpch,50,official
starrocks,Q04,5,2.826336238000067,2826.3,7,5,True,,tpch,50,official
starrocks,Q09,1,9.165792099999862,9165.8,2,175,True,,tpch,50,official
starrocks,Q09,2,9.421661964000124,9421.7,6,175,True,,tpch,50,official
starrocks,Q07,5,4.733110306000071,4733.1,8,4,True,,tpch,50,official
starrocks,Q15,4,3.117340833000071,3117.3,5,1,True,,tpch,50,official
starrocks,Q01,1,2.971956749000128,2972.0,12,4,True,,tpch,50,official
starrocks,Q03,3,3.371903399000076,3371.9,1,10,True,,tpch,50,official
starrocks,Q04,4,3.370272728000145,3370.3,3,5,True,,tpch,50,official
starrocks,Q04,2,2.8977775960001964,2897.8,13,5,True,,tpch,50,official
starrocks,Q08,4,5.000551965999875,5000.6,14,2,True,,tpch,50,official
starrocks,Q15,5,2.941670889999841,2941.7,4,1,True,,tpch,50,official
starrocks,Q11,4,2.68971382299992,2689.7,1,0,True,,tpch,50,official
starrocks,Q05,1,5.963801202000013,5963.8,11,5,True,,tpch,50,official
starrocks,Q16,3,3.0851968629999647,3085.2,7,27840,True,,tpch,50,official
starrocks,Q19,2,2.031360582000161,2031.4,3,1,True,,tpch,50,official
starrocks,Q05,4,6.345446003999996,6345.4,0,5,True,,tpch,50,official
starrocks,Q15,2,3.0374623160000738,3037.5,5,1,True,,tpch,50,official
starrocks,Q09,5,8.031233783000062,8031.2,15,175,True,,tpch,50,official
