system,query,run,elapsed_s,elapsed_ms,stream_id,rows_returned,success,error,workload,scale_factor,variant
starrocks,Q01,1,16.14567334200001,16145.7,0,4,True,,tpch,25,official
starrocks,Q01,2,28.107078342000023,28107.1,2,4,True,,tpch,25,official
starrocks,Q01,3,22.50876998700005,22508.8,3,4,True,,tpch,25,official
starrocks,Q01,4,21.898450513999933,21898.5,3,4,True,,tpch,25,official
starrocks,Q01,5,22.87343133399986,22873.4,1,4,True,,tpch,25,official
starrocks,Q02,1,1.0149494909999248,1014.9,1,100,True,,tpch,25,official
starrocks,Q02,2,0.8739480690001074,873.9,1,100,True,,tpch,25,official
starrocks,Q02,3,1.347987855999918,1348.0,3,100,True,,tpch,25,official
starrocks,Q02,4,1.1698994729999868,1169.9,3,100,True,,tpch,25,official
starrocks,Q02,5,1.024628532999941,1024.6,1,100,True,,tpch,25,official
starrocks,Q03,1,3.735600403000035,3735.6,0,10,True,,tpch,25,official
starrocks,Q03,2,1.4430252790000395,1443.0,0,10,True,,tpch,25,official
starrocks,Q03,3,3.901411724000127,3901.4,1,10,True,,tpch,25,official
starrocks,Q03,4,0.704605575999949,704.6,0,10,True,,tpch,25,official
starrocks,Q03,5,0.7043076830000246,704.3,0,10,True,,tpch,25,official
starrocks,Q04,1,5.402797864999911,5402.8,1,5,True,,tpch,25,official
starrocks,Q04,2,6.232318128000088,6232.3,1,5,True,,tpch,25,official
starrocks,Q04,3,1.427401191999934,1427.4,2,5,True,,tpch,25,official
starrocks,Q04,4,4.12964671199984,4129.6,3,5,True,,tpch,25,official
starrocks,Q04,5,7.676758069000016,7676.8,3,5,True,,tpch,25,official
starrocks,Q05,1,8.653618287999961,8653.6,3,5,True,,tpch,25,official
starrocks,Q05,2,6.984189813999819,6984.2,0,5,True,,tpch,25,official
starrocks,Q05,3,6.746295713999871,6746.3,2,5,True,,tpch,25,official
starrocks,Q05,4,7.640711276000047,7640.7,0,5,True,,tpch,25,official
starrocks,Q05,5,9.322179229999849,9322.2,2,5,True,,tpch,25,official
