system,query,run,elapsed_s,elapsed_ms,stream_id,rows_returned,success,error,workload,scale_factor,variant
trino,Q13,2,14.248170243999994,14248.2,0,46,True,,tpch,50,official
trino,Q11,1,16.355385092999995,16355.4,3,0,True,,tpch,50,official
trino,Q02,5,35.55525923899995,35555.3,1,100,True,,tpch,50,official
trino,Q01,2,55.720140887999946,55720.1,2,4,True,,tpch,50,official
trino,Q04,1,34.71011904900001,34710.1,1,5,True,,tpch,50,official
trino,Q14,4,66.36380672400014,66363.8,3,1,True,,tpch,50,official
trino,Q21,5,100.20552248899992,100205.5,0,100,True,,tpch,50,official
trino,Q16,2,8.860792787000037,8860.8,0,27840,True,,tpch,50,official
trino,Q15,1,56.972988058000055,56973.0,3,1,True,,tpch,50,official
trino,Q06,2,73.615150943,73615.2,1,1,True,,tpch,50,official
trino,Q12,2,105.05432238399987,105054.3,2,2,True,,tpch,50,official
trino,Q07,1,50.55911204699987,50559.1,0,4,True,,tpch,50,official
trino,Q13,3,20.954537760999983,20954.5,0,46,True,,tpch,50,official
trino,Q07,3,53.2812643929999,53281.3,1,4,True,,tpch,50,official
trino,Q20,5,63.76135307200002,63761.4,2,8890,True,,tpch,50,official
trino,Q12,4,90.85461944100008,90854.6,3,2,True,,tpch,50,official
trino,Q11,3,14.606997113000034,14607.0,3,0,True,,tpch,50,official
trino,Q17,5,63.640935088000106,63640.9,1,1,True,,tpch,50,official
trino,Q13,4,37.1630203929999,37163.0,2,46,True,,tpch,50,official
trino,Q10,5,101.509202683,101509.2,0,20,True,,tpch,50,official
trino,Q16,4,8.720404157999837,8720.4,0,27840,True,,tpch,50,official
trino,Q17,3,60.33870525899988,60338.7,3,1,True,,tpch,50,official
trino,Q10,3,52.84565735899992,52845.7,1,20,True,,tpch,50,official
trino,Q02,4,28.191866584999843,28191.9,3,100,True,,tpch,50,official
trino,Q12,1,79.30459927900006,79304.6,2,2,True,,tpch,50,official
trino,Q05,2,76.76526443600005,76765.3,0,5,True,,tpch,50,official
trino,Q17,1,68.20631156400009,68206.3,1,1,True,,tpch,50,official
trino,Q18,1,45.32969389200002,45329.7,2,100,True,,tpch,50,official
trino,Q07,4,52.72268525000004,52722.7,3,4,True,,tpch,50,official
trino,Q05,3,54.27553594999995,54275.5,2,5,True,,tpch,50,official
trino,Q21,3,71.99801567500003,71998.0,3,100,True,,tpch,50,official
trino,Q08,3,77.240415536,77240.4,1,2,True,,tpch,50,official
trino,Q22,5,16.845845962999874,16845.8,3,7,True,,tpch,50,official
trino,Q03,1,107.14610380099998,107146.1,0,10,True,,tpch,50,official
trino,Q14,3,71.03903621899985,71039.0,2,1,True,,tpch,50,official
trino,Q14,2,53.07892898799992,53078.9,1,1,True,,tpch,50,official
trino,Q16,5,8.908055470999898,8908.1,2,27840,True,,tpch,50,official
trino,Q02,2,27.358010622999927,27358.0,1,100,True,,tpch,50,official
trino,Q15,5,58.15805638799998,58158.1,0,1,True,,tpch,50,official
trino,Q22,4,8.898497073000044,8898.5,1,7,True,,tpch,50,official
trino,Q12,5,81.92615961800016,81926.2,3,2,True,,tpch,50,official
trino,Q13,1,23.607180966999977,23607.2,0,46,True,,tpch,50,official
trino,Q09,2,57.37650894999979,57376.5,2,175,True,,tpch,50,official
trino,Q09,3,35.27447801100016,35274.5,2,175,True,,tpch,50,official
trino,Q18,4,86.18563526600019,86185.6,1,100,True,,tpch,50,official
trino,Q19,4,67.414993074,67415.0,0,1,True,,tpch,50,official
trino,Q08,2,104.54742545099998,104547.4,3,2,True,,tpch,50,official
trino,Q14,1,66.96714498300003,66967.1,2,1,True,,tpch,50,official
trino,Q04,4,23.90163088700001,23901.6,3,5,True,,tpch,50,official
trino,Q05,4,50.308196611000085,50308.2,0,5,True,,tpch,50,official
trino,Q02,3,35.203148333999934,35203.1,3,100,True,,tpch,50,official
trino,Q15,3,34.65029885600006,34650.3,0,1,True,,tpch,50,official
trino,Q08,5,89.91430224299984,89914.3,1,2,True,,tpch,50,official
trino,Q02,1,22.81589935000011,22815.9,1,100,True,,tpch,50,official
trino,Q01,3,47.47849854999981,47478.5,3,4,True,,tpch,50,official
trino,Q09,1,91.27972751800009,91279.7,2,175,True,,tpch,50,official
