system,query,run,elapsed_s,elapsed_ms,stream_id,rows_returned,success,error,workload,scale_factor,variant
trino,Q13,2,20.51795796199985,20518.0,0,46,True,,tpch,50,official
trino,Q11,1,33.40581638799995,33405.8,3,0,True,,tpch,50,official
trino,Q01,2,37.748256629000025,37748.3,2,4,True,,tpch,50,official
trino,Q02,5,61.47974831900001,61479.7,1,100,True,,tpch,50,official
trino,Q14,4,44.62439380199999,44624.4,3,1,True,,tpch,50,official
trino,Q21,5,75.79942140499998,75799.4,0,100,True,,tpch,50,official
trino,Q04,1,49.25975294,49259.8,1,5,True,,tpch,50,official
trino,Q12,2,76.36046776800003,76360.5,2,2,True,,tpch,50,official
trino,Q15,1,48.60445324400007,48604.5,3,1,True,,tpch,50,official
trino,Q06,2,34.704259471000114,34704.3,1,1,True,,tpch,50,official
trino,Q16,2,50.3226087810001,50322.6,0,27840,True,,tpch,50,official
trino,Q20,5,50.67203238299999,50672.0,2,8890,True,,tpch,50,official
trino,Q13,4,18.64910529299982,18649.1,2,46,True,,tpch,50,official
trino,Q12,4,57.18164241800014,57181.6,3,2,True,,tpch,50,official
trino,Q11,3,17.64499913999998,17645.0,3,0,True,,tpch,50,official
trino,Q07,1,56.99119829899996,56991.2,0,4,True,,tpch,50,official
trino,Q07,3,59.03204933799998,59032.0,1,4,True,,tpch,50,official
trino,Q13,3,35.75844961099983,35758.4,0,46,True,,tpch,50,official
trino,Q12,1,83.54286479100006,83542.9,2,2,True,,tpch,50,official
trino,Q17,3,67.21761706400002,67217.6,3,1,True,,tpch,50,official
trino,Q17,5,74.52058671100008,74520.6,1,1,True,,tpch,50,official
trino,Q02,4,27.03387606299998,27033.9,3,100,True,,tpch,50,official
trino,Q18,1,55.72489692599993,55724.9,2,100,True,,tpch,50,official
trino,Q10,5,91.74729047899996,91747.3,0,20,True,,tpch,50,official
trino,Q16,4,9.15411641999981,9154.1,0,27840,True,,tpch,50,official
trino,Q07,4,49.52812264199997,49528.1,3,4,True,,tpch,50,official
trino,Q05,3,30.31809808499997,30318.1,2,5,True,,tpch,50,official
trino,Q05,2,49.47584639699994,49475.8,0,5,True,,tpch,50,official
trino,Q14,3,40.3277572049999,40327.8,2,1,True,,tpch,50,official
trino,Q10,3,122.3982983200001,122398.3,1,20,True,,tpch,50,official
trino,Q16,5,8.38575172800006,8385.8,2,27840,True,,tpch,50,official
trino,Q21,3,62.77921397399996,62779.2,3,100,True,,tpch,50,official
trino,Q22,5,16.831967474000066,16832.0,3,7,True,,tpch,50,official
trino,Q09,2,43.34671529900015,43346.7,2,175,True,,tpch,50,official
trino,Q17,1,79.04132471399998,79041.3,1,1,True,,tpch,50,official
trino,Q03,1,93.225605373,93225.6,0,10,True,,tpch,50,official
trino,Q09,3,39.26066078200006,39260.7,2,175,True,,tpch,50,official
trino,Q12,5,63.82585664299995,63825.9,3,2,True,,tpch,50,official
trino,Q15,5,58.50071438300006,58500.7,0,1,True,,tpch,50,official
trino,Q14,1,58.90948808399981,58909.5,2,1,True,,tpch,50,official
trino,Q08,2,64.899402367,64899.4,3,2,True,,tpch,50,official
trino,Q13,1,19.05855949500005,19058.6,0,46,True,,tpch,50,official
trino,Q04,4,27.860127454999883,27860.1,3,5,True,,tpch,50,official
trino,Q08,3,106.994197043,106994.2,1,2,True,,tpch,50,official
trino,Q09,1,45.348843863999946,45348.8,2,175,True,,tpch,50,official
trino,Q19,4,39.26137049499994,39261.4,0,1,True,,tpch,50,official
trino,Q02,3,31.52058245599983,31520.6,3,100,True,,tpch,50,official
trino,Q14,2,32.43358934499997,32433.6,1,1,True,,tpch,50,official
trino,Q05,4,33.0477434070001,33047.7,0,5,True,,tpch,50,official
trino,Q01,3,35.321984819000136,35322.0,3,4,True,,tpch,50,official
trino,Q02,2,37.651769922000085,37651.8,1,100,True,,tpch,50,official
trino,Q22,4,15.22967216500001,15229.7,1,7,True,,tpch,50,official
trino,Q15,3,45.10039440799983,45100.4,0,1,True,,tpch,50,official
trino,Q09,5,49.74588900399999,49745.9,3,175,True,,tpch,50,official
trino,Q07,5,43.11930817699999,43119.3,0,4,True,,tpch,50,official
trino,Q18,4,50.00233547700009,50002.3,1,100,True,,tpch,50,official
trino,Q05,5,137.96655012999986,137966.6,2,5,True,,tpch,50,official
trino,Q11,2,15.439987630999894,15440.0,0,0,True,,tpch,50,official
trino,Q19,2,40.471811173000106,40471.8,3,1,True,,tpch,50,official
trino,Q08,5,49.74803599400002,49748.0,1,2,True,,tpch,50,official
trino,Q04,5,35.37235758399993,35372.4,3,5,True,,tpch,50,official
trino,Q02,1,25.207042886999943,25207.0,1,100,True,,tpch,50,official
trino,Q05,1,34.50514734700005,34505.1,3,5,True,,tpch,50,official
trino,Q10,1,78.49014048100003,78490.1,0,20,True,,tpch,50,official
trino,Q21,1,51.48312312600001,51483.1,0,100,True,,tpch,50,official
trino,Q12,3,58.13361817300006,58133.6,3,2,True,,tpch,50,official
trino,Q18,5,77.75024445200006,77750.2,1,100,True,,tpch,50,official
trino,Q04,2,33.841415737000034,33841.4,1,5,True,,tpch,50,official
trino,Q10,2,189.0282922220001,189028.3,2,20,True,,tpch,50,official
trino,Q17,4,57.00202485600016,57002.0,3,1,True,,tpch,50,official
trino,Q18,3,78.74105668199991,78741.1,0,100,True,,tpch,50,official
trino,Q08,4,44.50310708300003,44503.1,2,2,True,,tpch,50,official
trino,Q16,3,38.06819813499988,38068.2,3,27840,True,,tpch,50,official
trino,Q01,1,18.07970353700012,18079.7,0,4,True,,tpch,50,official
