system,query,run,elapsed_s,elapsed_ms,stream_id,rows_returned,success,error,workload,scale_factor,variant
trino,Q13,2,21.11004943300009,21110.0,0,46,True,,tpch,50,official
trino,Q11,1,21.23825208000017,21238.3,3,0,True,,tpch,50,official
trino,Q01,2,50.301559704000056,50301.6,2,4,True,,tpch,50,official
trino,Q14,4,48.19135723800014,48191.4,3,1,True,,tpch,50,official
trino,Q02,5,77.02092664099996,77020.9,1,100,True,,tpch,50,official
trino,Q21,5,81.3766452960001,81376.6,0,100,True,,tpch,50,official
trino,Q04,1,38.95315909600004,38953.2,1,5,True,,tpch,50,official
trino,Q15,1,48.785424831,48785.4,3,1,True,,tpch,50,official
trino,Q12,2,70.01069461400016,70010.7,2,2,True,,tpch,50,official
trino,Q16,2,36.29770761200007,36297.7,0,27840,True,,tpch,50,official
trino,Q06,2,50.344274585,50344.3,1,1,True,,tpch,50,official
trino,Q20,5,61.59538285699978,61595.4,2,8890,True,,tpch,50,official
trino,Q07,1,54.7819308820001,54781.9,0,4,True,,tpch,50,official
trino,Q12,4,79.11687407199997,79116.9,3,2,True,,tpch,50,official
trino,Q13,4,27.039998978000085,27040.0,2,46,True,,tpch,50,official
trino,Q13,3,18.416707464999945,18416.7,0,46,True,,tpch,50,official
trino,Q07,3,48.15371470299988,48153.7,1,4,True,,tpch,50,official
trino,Q11,3,46.257732239000006,46257.7,3,0,True,,tpch,50,official
trino,Q17,5,64.58802280500004,64588.0,1,1,True,,tpch,50,official
trino,Q12,1,87.89517254099997,87895.2,2,2,True,,tpch,50,official
trino,Q10,5,98.46131797399994,98461.3,0,20,True,,tpch,50,official
trino,Q17,3,76.62682685799996,76626.8,3,1,True,,tpch,50,official
trino,Q16,4,18.591598749000013,18591.6,0,27840,True,,tpch,50,official
trino,Q02,4,31.26830343000006,31268.3,3,100,True,,tpch,50,official
trino,Q10,3,72.43231278799999,72432.3,1,20,True,,tpch,50,official
trino,Q18,1,54.77730238699996,54777.3,2,100,True,,tpch,50,official
trino,Q05,2,55.37619840100001,55376.2,0,5,True,,tpch,50,official
trino,Q05,3,58.95040644000005,58950.4,2,5,True,,tpch,50,official
trino,Q17,1,65.5098472279999,65509.8,1,1,True,,tpch,50,official
trino,Q07,4,76.95723351300012,76957.2,3,4,True,,tpch,50,official
trino,Q03,1,74.37257634499997,74372.6,0,10,True,,tpch,50,official
trino,Q14,3,61.40726136800004,61407.3,2,1,True,,tpch,50,official
trino,Q08,3,82.52749742600008,82527.5,1,2,True,,tpch,50,official
trino,Q16,5,27.88534780300006,27885.3,2,27840,True,,tpch,50,official
trino,Q15,5,57.99876897899958,57998.8,0,1,True,,tpch,50,official
trino,Q21,3,91.94255321599984,91942.6,3,100,True,,tpch,50,official
trino,Q22,5,21.68395010699988,21684.0,3,7,True,,tpch,50,official
trino,Q13,1,27.811803245000192,27811.8,0,46,True,,tpch,50,official
trino,Q14,2,49.07914545899985,49079.1,1,1,True,,tpch,50,official
trino,Q09,2,65.0402950749999,65040.3,2,175,True,,tpch,50,official
trino,Q19,4,35.27331861100038,35273.3,0,1,True,,tpch,50,official
trino,Q02,2,44.85647974599988,44856.5,1,100,True,,tpch,50,official
trino,Q12,5,61.31861849200004,61318.6,3,2,True,,tpch,50,official
trino,Q22,4,19.407921560999966,19407.9,1,7,True,,tpch,50,official
trino,Q09,3,52.29777908899996,52297.8,2,175,True,,tpch,50,official
trino,Q05,4,50.06371023799966,50063.7,0,5,True,,tpch,50,official
trino,Q14,1,51.74611194499994,51746.1,2,1,True,,tpch,50,official
trino,Q08,2,75.03846376799993,75038.5,3,2,True,,tpch,50,official
trino,Q15,3,54.35426064400008,54354.3,0,1,True,,tpch,50,official
trino,Q18,4,100.77972549200013,100779.7,1,100,True,,tpch,50,official
trino,Q04,4,36.02232103200004,36022.3,3,5,True,,tpch,50,official
trino,Q09,1,64.49921213900006,64499.2,2,175,True,,tpch,50,official
trino,Q07,5,51.57639320599992,51576.4,0,4,True,,tpch,50,official
trino,Q11,2,16.88558668199994,16885.6,0,0,True,,tpch,50,official
trino,Q08,5,41.15975114999992,41159.8,1,2,True,,tpch,50,official
trino,Q02,3,41.90618633800023,41906.2,3,100,True,,tpch,50,official
trino,Q05,5,30.74579259600023,30745.8,2,5,True,,tpch,50,official
trino,Q01,3,38.22115386499991,38221.2,3,4,True,,tpch,50,official
trino,Q02,1,48.835060790999705,48835.1,1,100,True,,tpch,50,official
trino,Q10,1,91.82374392200018,91823.7,0,20,True,,tpch,50,official
trino,Q10,2,90.24901796700031,90249.0,2,20,True,,tpch,50,official
trino,Q09,5,71.65421820099982,71654.2,3,175,True,,tpch,50,official
trino,Q18,5,95.142348975,95142.3,1,100,True,,tpch,50,official
trino,Q19,2,54.98132349999969,54981.3,3,1,True,,tpch,50,official
trino,Q08,4,70.33175949999986,70331.8,2,2,True,,tpch,50,official
trino,Q21,1,88.05273019700007,88052.7,0,100,True,,tpch,50,official
trino,Q04,2,38.920623504000105,38920.6,1,5,True,,tpch,50,official
trino,Q04,5,36.9496574220002,36949.7,3,5,True,,tpch,50,official
trino,Q10,4,75.23339218299998,75233.4,2,20,True,,tpch,50,official
trino,Q05,1,43.415446815,43415.4,3,5,True,,tpch,50,official
trino,Q03,3,65.96343155600016,65963.4,1,10,True,,tpch,50,official
trino,Q18,3,101.49016768799991,101490.2,0,100,True,,tpch,50,official
trino,Q15,4,54.70376722900028,54703.8,1,1,True,,tpch,50,official
trino,Q19,1,58.56976793800004,58569.8,2,1,True,,tpch,50,official
trino,Q01,1,46.11873908000007,46118.7,0,4,True,,tpch,50,official
trino,Q12,3,93.9310226360003,93931.0,3,2,True,,tpch,50,official
trino,Q20,4,81.28568660700012,81285.7,2,8890,True,,tpch,50,official
trino,Q09,4,83.33297899199988,83333.0,1,175,True,,tpch,50,official
trino,Q22,1,23.59624962099997,23596.2,1,7,True,,tpch,50,official
trino,Q17,4,73.2967572550001,73296.8,3,1,True,,tpch,50,official
trino,Q21,4,92.82851058200004,92828.5,0,100,True,,tpch,50,official
trino,Q16,3,18.18512598999996,18185.1,3,27840,True,,tpch,50,official
trino,Q11,4,22.205806845999632,22205.8,1,0,True,,tpch,50,official
trino,Q20,1,65.19429349700022,65194.3,2,8890,True,,tpch,50,official
trino,Q06,1,66.82791430400039,66827.9,0,1,True,,tpch,50,official
trino,Q15,2,62.93733039400013,62937.3,1,1,True,,tpch,50,official
trino,Q20,2,73.97758085100031,73977.6,3,8890,True,,tpch,50,official
trino,Q13,5,21.909750165999867,21909.8,0,46,True,,tpch,50,official
trino,Q20,3,66.43594624700017,66435.9,2,8890,True,,tpch,50,official
trino,Q22,3,12.183658106000166,12183.7,0,7,True,,tpch,50,official
trino,Q16,1,16.738491301000067,16738.5,3,27840,True,,tpch,50,official
trino,Q06,5,38.57316342299964,38573.2,1,1,True,,tpch,50,official
trino,Q19,3,53.84814540900015,53848.1,2,1,True,,tpch,50,official
trino,Q01,5,45.52002781200008,45520.0,1,4,True,,tpch,50,official
trino,Q18,2,73.66984983800012,73669.8,3,100,True,,tpch,50,official
trino,Q03,2,89.82538487200009,89825.4,0,10,True,,tpch,50,official
trino,Q06,3,41.71628066099993,41716.3,2,1,True,,tpch,50,official
trino,Q14,5,34.100908420999986,34100.9,1,1,True,,tpch,50,official
trino,Q22,2,20.380527621000056,20380.5,1,7,True,,tpch,50,official
trino,Q11,5,23.03003257599994,23030.0,2,0,True,,tpch,50,official
trino,Q06,4,55.46424703499997,55464.2,3,1,True,,tpch,50,official
trino,Q03,4,76.12293434900039,76122.9,0,10,True,,tpch,50,official
