system,query,run,elapsed_s,elapsed_ms,stream_id,rows_returned,success,error,workload,scale_factor,variant
trino,Q02,5,9.811855427999944,9811.9,1,100,True,,tpch,50,official
trino,Q11,1,9.90969122699994,9909.7,3,0,True,,tpch,50,official
trino,Q16,2,13.80878071699999,13808.8,8,27840,True,,tpch,50,official
trino,Q11,3,4.062125902000162,4062.1,3,0,True,,tpch,50,official
trino,Q06,2,16.072811739999906,16072.8,9,1,True,,tpch,50,official
trino,Q14,4,16.27793372499991,16277.9,7,1,True,,tpch,50,official
trino,Q12,4,19.48192582899992,19481.9,15,2,True,,tpch,50,official
trino,Q12,2,21.033278284000065,21033.3,6,2,True,,tpch,50,official
trino,Q16,4,12.323587871999962,12323.6,8,27840,True,,tpch,50,official
trino,Q20,5,27.519794693999984,27519.8,10,8890,True,,tpch,50,official
trino,Q07,1,28.215428268000096,28215.4,12,4,True,,tpch,50,official
trino,Q01,2,28.89639523599999,28896.4,2,4,True,,tpch,50,official
trino,Q15,1,31.30724800500002,31307.2,11,1,True,,tpch,50,official
trino,Q04,1,33.16529409200007,33165.3,5,5,True,,tpch,50,official
trino,Q02,4,6.491584369000066,6491.6,11,100,True,,tpch,50,official
trino,Q05,2,13.841778676000104,13841.8,12,5,True,,tpch,50,official
trino,Q07,3,43.67745539099997,43677.5,13,4,True,,tpch,50,official
trino,Q17,5,37.56841306699994,37568.4,1,1,True,,tpch,50,official
trino,Q05,3,20.32375042900003,20323.8,10,5,True,,tpch,50,official
trino,Q12,1,19.077356467000072,19077.4,2,2,True,,tpch,50,official
trino,Q16,5,3.28073909800014,3280.7,2,27840,True,,tpch,50,official
trino,Q12,5,17.549354082000036,17549.4,11,2,True,,tpch,50,official
trino,Q13,2,55.51912570400009,55519.1,0,46,True,,tpch,50,official
trino,Q07,4,37.74032052000007,37740.3,15,4,True,,tpch,50,official
trino,Q17,1,43.03267813599996,43032.7,9,1,True,,tpch,50,official
trino,Q13,4,59.34004127699996,59340.0,14,46,True,,tpch,50,official
trino,Q19,4,20.55358843699992,20553.6,12,1,True,,tpch,50,official
trino,Q13,3,8.578279693000013,8578.3,0,46,True,,tpch,50,official
trino,Q22,4,5.335808840999789,5335.8,9,7,True,,tpch,50,official
trino,Q18,1,43.61825844200007,43618.3,6,100,True,,tpch,50,official
trino,Q11,2,2.112062329000082,2112.1,12,0,True,,tpch,50,official
trino,Q01,3,13.05789665899988,13057.9,11,4,True,,tpch,50,official
trino,Q10,3,37.47750820400006,37477.5,5,20,True,,tpch,50,official
trino,Q14,2,24.57424496299996,24574.2,1,1,True,,tpch,50,official
trino,Q17,3,57.02160211199998,57021.6,7,1,True,,tpch,50,official
trino,Q08,2,17.090441039000098,17090.4,15,2,True,,tpch,50,official
trino,Q22,5,3.726188015999924,3726.2,7,7,True,,tpch,50,official
trino,Q02,2,6.662664660000019,6662.7,5,100,True,,tpch,50,official
trino,Q01,1,15.160822711000035,15160.8,12,4,True,,tpch,50,official
trino,Q08,3,36.35091501200009,36350.9,13,2,True,,tpch,50,official
trino,Q02,3,4.973770146999868,4973.8,7,100,True,,tpch,50,official
trino,Q22,3,3.3984914699999536,3398.5,12,7,True,,tpch,50,official
trino,Q02,1,6.893145417999904,6893.1,5,100,True,,tpch,50,official
trino,Q14,3,25.44691641899999,25446.9,14,1,True,,tpch,50,official
trino,Q21,5,87.08869788499987,87088.7,4,100,True,,tpch,50,official
trino,Q04,5,7.922093822999841,7922.1,7,5,True,,tpch,50,official
trino,Q13,1,66.67026592600018,66670.3,8,46,True,,tpch,50,official
trino,Q16,3,3.366218050000043,3366.2,7,27840,True,,tpch,50,official
trino,Q21,3,84.6240937340001,84624.1,3,100,True,,tpch,50,official
trino,Q07,5,10.03304410099986,10033.0,8,4,True,,tpch,50,official
trino,Q15,4,21.3039456649999,21303.9,5,1,True,,tpch,50,official
trino,Q03,1,41.62107981500003,41621.1,0,10,True,,tpch,50,official
trino,Q14,1,20.91982272900009,20919.8,14,1,True,,tpch,50,official
trino,Q18,5,43.33327746600003,43333.3,9,100,True,,tpch,50,official
trino,Q06,4,15.333484230000067,15333.5,7,1,True,,tpch,50,official
trino,Q08,5,40.55679793399986,40556.8,1,2,True,,tpch,50,official
trino,Q03,5,33.21799226100006,33218.0,12,10,True,,tpch,50,official
trino,Q10,5,30.722709542000075,30722.7,4,20,True,,tpch,50,official
trino,Q04,4,20.25205554199988,20252.1,3,5,True,,tpch,50,official
trino,Q05,1,53.68250659299997,53682.5,11,5,True,,tpch,50,official
trino,Q08,4,17.031071596999936,17031.1,14,2,True,,tpch,50,official
trino,Q18,4,45.83910283,45839.1,13,100,True,,tpch,50,official
trino,Q15,2,22.14063735600007,22140.6,5,1,True,,tpch,50,official
trino,Q20,2,6.280308863999835,6280.3,11,8890,True,,tpch,50,official
trino,Q22,2,4.107446121000066,4107.4,5,7,True,,tpch,50,official
trino,Q15,5,19.13748163499985,19137.5,4,1,True,,tpch,50,official
trino,Q19,2,18.36687551999989,18366.9,3,1,True,,tpch,50,official
trino,Q18,3,35.05377820199988,35053.8,8,100,True,,tpch,50,official
trino,Q03,3,28.92947604200026,28929.5,1,10,True,,tpch,50,official
trino,Q20,1,19.72535691200005,19725.4,14,8890,True,,tpch,50,official
trino,Q11,4,3.0444326439996985,3044.4,1,0,True,,tpch,50,official
trino,Q11,5,2.8514676599997983,2851.5,14,0,True,,tpch,50,official
